,단지코드,총세대수,지역,주소,공급유형,전용면적,전용면적별세대수,준공일자,매입일자,단지명,등록차량수
23,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,59.923,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
24,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,59.923,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
25,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,59.923,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
26,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,59.923,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
27,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,78.941,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
28,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,59.923,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
29,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,78.941,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
30,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,59.923,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
31,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,59.923,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
32,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,59.923,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
33,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,59.923,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
34,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,59.923,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
35,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,78.941,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
36,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,78.941,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
37,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,78.941,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
38,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,59.923,1.0,20070315,20070805.0,재건축임대(면목 마젤란),211.0
39,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,78.941,1.0,20070315,,재건축임대(면목 마젤란),211.0
40,D00212,199.0,서울특별시,서울특별시 중랑구 겸재로30길 42(면목동 면목마젤란21아파트)  ,공공분양,84.741,1.0,20070315,,재건축임대(면목 마젤란),211.0
41,D00332,2068.0,서울특별시,서울특별시 성북구 길음로 119(길음동 길음뉴타운) 119  성북길음뉴타운 (길음동),공공분양,114.73,1.0,20050420,20080101.0,중형임대(성북 길음뉴타운),2598.0
42,D00333,2197.0,서울특별시,서울특별시 성북구 오패산로 46(하월곡동 월곡두산위브아파트)  ,공공분양,114.752,1.0,20030430,20080101.0,중형임대(성북 월곡두산위브),2662.0
43,D00333,2197.0,서울특별시,서울특별시 성북구 오패산로 46(하월곡동 월곡두산위브아파트)  ,공공분양,114.752,1.0,20030430,20080101.0,중형임대(성북 월곡두산위브),2662.0
44,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,영구임대,26.37,294.0,19901025,,서울번동3,358.0
45,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,영구임대,31.32,450.0,19901025,,서울번동3,358.0
46,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,영구임대,36.54,70.0,19901025,,서울번동3,358.0
47,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,영구임대,37.08,28.0,19901025,,서울번동3,358.0
48,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,영구임대,40.32,450.0,19901025,,서울번동3,358.0
49,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,30.38,1.0,19901025,,서울번동3,358.0
50,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,23.16,1.0,19901025,,서울번동3,358.0
51,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,32.84,1.0,19901025,,서울번동3,358.0
52,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,17.6,1.0,19901025,,서울번동3,358.0
53,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,22.54,1.0,19901025,,서울번동3,358.0
54,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,16.61,1.0,19901025,,서울번동3,358.0
55,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,17.6,1.0,19901025,,서울번동3,358.0
56,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,33.5,1.0,19901025,,서울번동3,358.0
57,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,23.16,1.0,19901025,,서울번동3,358.0
58,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,30.38,1.0,19901025,,서울번동3,358.0
59,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,27.0,1.0,19901025,,서울번동3,358.0
60,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,28.13,1.0,19901025,,서울번동3,358.0
61,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,25.3,1.0,19901025,,서울번동3,358.0
62,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,12.72,1.0,19901025,,서울번동3,358.0
63,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,14.43,1.0,19901025,,서울번동3,358.0
64,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,20.11,1.0,19901025,,서울번동3,358.0
65,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,31.72,1.0,19901025,,서울번동3,358.0
66,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,23.37,1.0,19901025,,서울번동3,358.0
67,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,30.87,1.0,19901025,,서울번동3,358.0
68,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,19.83,1.0,19901025,,서울번동3,358.0
69,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,18.69,1.0,19901025,,서울번동3,358.0
70,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,18.69,1.0,19901025,,서울번동3,358.0
71,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,35.44,1.0,19901025,,서울번동3,358.0
72,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,31.72,1.0,19901025,,서울번동3,358.0
73,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,23.37,1.0,19901025,,서울번동3,358.0
74,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,33.51,1.0,19901025,,서울번동3,358.0
75,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,19.83,1.0,19901025,,서울번동3,358.0
76,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,18.69,1.0,19901025,,서울번동3,358.0
77,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,27.01,1.0,19901025,,서울번동3,358.0
78,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,75.74,1.0,19901025,,서울번동3,358.0
79,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,20.49,1.0,19901025,,서울번동3,358.0
80,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,19.32,1.0,19901025,,서울번동3,358.0
81,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,27.92,1.0,19901025,,서울번동3,358.0
82,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,31.72,1.0,19901025,,서울번동3,358.0
83,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,23.37,1.0,19901025,,서울번동3,358.0
84,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,33.51,1.0,19901025,,서울번동3,358.0
85,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,24.08,1.0,19901025,,서울번동3,358.0
86,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,31.42,1.0,19901025,,서울번동3,358.0
87,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,37.79,1.0,19901025,,서울번동3,358.0
88,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,40.2,1.0,19901025,,서울번동3,358.0
89,C00219,1292.0,서울특별시,서울특별시 강북구 오현로 208,임대상가,92.96,1.0,19901025,,서울번동3,358.0
90,C00211,245.0,서울특별시,서울특별시 도봉구 도봉로180길 83-14(서울도봉주공아파트),국민임대,45.32,54.0,20021101,,서울도봉,199.0
91,C00211,245.0,서울특별시,서울특별시 도봉구 도봉로180길 83-14(서울도봉주공아파트),국민임대,36.44,191.0,20021101,,서울도봉,199.0
92,C00901,1980.0,서울특별시,서울특별시 도봉구 덕릉로66길 17 (창동),공공분양,36.17,1349.0,,,상계17,537.0
93,C00901,1980.0,서울특별시,서울특별시 도봉구 덕릉로66길 17 (창동),공공분양,36.33,270.0,,,상계17,537.0
94,C00901,1980.0,서울특별시,서울특별시 도봉구 덕릉로66길 17 (창동),공공분양,41.29,180.0,,,상계17,537.0
95,C00901,1980.0,서울특별시,서울특별시 도봉구 덕릉로66길 17 (창동),공공분양,49.95,179.0,,,상계17,537.0
96,C01425,750.0,서울특별시,서울특별시 도봉구 해등로12길 44 (창동),공공분양,36.17,149.0,,,창동2,313.0
97,C01425,750.0,서울특별시,서울특별시 도봉구 해등로12길 44 (창동),공공분양,36.33,30.0,,,창동2,313.0
98,C01425,750.0,서울특별시,서울특별시 도봉구 해등로12길 44 (창동),공공분양,41.29,90.0,,,창동2,313.0
99,C01425,750.0,서울특별시,서울특별시 도봉구 해등로12길 44 (창동),공공분양,41.29,90.0,,,창동2,313.0
100,C01425,750.0,서울특별시,서울특별시 도봉구 해등로12길 44 (창동),공공분양,45.55,60.0,,,창동2,313.0
101,C01425,750.0,서울특별시,서울특별시 도봉구 해등로12길 44 (창동),공공분양,45.88,120.0,,,창동2,313.0
102,C01425,750.0,서울특별시,서울특별시 도봉구 해등로12길 44 (창동),공공분양,49.92,90.0,,,창동2,313.0
103,C01425,750.0,서울특별시,서울특별시 도봉구 해등로12길 44 (창동),공공분양,49.92,119.0,,,창동2,313.0
104,C00226,882.0,서울특별시,서울특별시 노원구 동일로210길 22  (중계동주공영구임대아파트),영구임대,26.37,882.0,19901205,,서울중계1,300.0
105,C00226,882.0,서울특별시,서울특별시 노원구 동일로210길 22  (중계동주공영구임대아파트),임대상가,77.04,1.0,19901205,,서울중계1,300.0
106,C00226,882.0,서울특별시,서울특별시 노원구 동일로210길 22  (중계동주공영구임대아파트),임대상가,32.1,1.0,19901205,,서울중계1,300.0
107,C00226,882.0,서울특별시,서울특별시 노원구 동일로210길 22  (중계동주공영구임대아파트),임대상가,32.1,1.0,19901205,,서울중계1,300.0
108,C00226,882.0,서울특별시,서울특별시 노원구 동일로210길 22  (중계동주공영구임대아파트),임대상가,32.1,1.0,19901205,,서울중계1,300.0
109,C00226,882.0,서울특별시,서울특별시 노원구 동일로210길 22  (중계동주공영구임대아파트),임대상가,32.1,1.0,19901205,,서울중계1,300.0
110,C00226,882.0,서울특별시,서울특별시 노원구 동일로210길 22  (중계동주공영구임대아파트),임대상가,32.1,1.0,19901205,,서울중계1,300.0
111,C00226,882.0,서울특별시,서울특별시 노원구 동일로210길 22  (중계동주공영구임대아파트),임대상가,32.1,1.0,19901205,,서울중계1,300.0
112,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),영구임대,26.37,1470.0,19920918,,서울중계9,495.0
113,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),영구임대,31.32,717.0,19920918,,서울중계9,495.0
114,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),영구임대,31.32,447.0,19920918,,서울중계9,495.0
115,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,583.4,1.0,19920918,,서울중계9,495.0
116,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,37.26,1.0,19920918,,서울중계9,495.0
117,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,37.41,1.0,19920918,,서울중계9,495.0
118,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,37.41,1.0,19920918,,서울중계9,495.0
119,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,37.41,1.0,19920918,,서울중계9,495.0
120,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,37.49,1.0,19920918,,서울중계9,495.0
121,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,38.0,1.0,19920918,,서울중계9,495.0
122,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,39.33,1.0,19920918,,서울중계9,495.0
123,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,39.33,1.0,19920918,,서울중계9,495.0
124,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,39.33,1.0,19920918,,서울중계9,495.0
125,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,38.0,1.0,19920918,,서울중계9,495.0
126,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,75.98,1.0,19920918,,서울중계9,495.0
127,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,37.95,1.0,19920918,,서울중계9,495.0
128,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,37.95,1.0,19920918,,서울중계9,495.0
129,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,38.04,1.0,19920918,,서울중계9,495.0
130,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,54.61,1.0,19920918,,서울중계9,495.0
131,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,54.51,1.0,19920918,,서울중계9,495.0
132,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,54.51,1.0,19920918,,서울중계9,495.0
133,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,54.51,1.0,19920918,,서울중계9,495.0
134,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,54.6,1.0,19920918,,서울중계9,495.0
135,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,240.22,1.0,19920918,,서울중계9,495.0
136,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,23.4,1.0,19920918,,서울중계9,495.0
137,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,23.4,1.0,19920918,,서울중계9,495.0
138,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,23.4,1.0,19920918,,서울중계9,495.0
139,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,23.4,1.0,19920918,,서울중계9,495.0
140,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,23.4,1.0,19920918,,서울중계9,495.0
141,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,23.4,1.0,19920918,,서울중계9,495.0
142,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,21.46,1.0,19920918,,서울중계9,495.0
143,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,31.92,1.0,19920918,,서울중계9,495.0
144,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,21.46,1.0,19920918,,서울중계9,495.0
145,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,19.36,1.0,19920918,,서울중계9,495.0
146,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,36.58,1.0,19920918,,서울중계9,495.0
147,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,18.98,1.0,19920918,,서울중계9,495.0
148,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,32.6,1.0,19920918,,서울중계9,495.0
149,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,27.55,1.0,19920918,,서울중계9,495.0
150,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,14.1,1.0,19920918,,서울중계9,495.0
151,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,79.25,1.0,19920918,,서울중계9,495.0
152,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,22.83,1.0,19920918,,서울중계9,495.0
153,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,540.35,1.0,19920918,,서울중계9,495.0
154,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,40.5004,1.0,19920918,,서울중계9,495.0
155,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,40.5004,1.0,19920918,,서울중계9,495.0
156,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,40.5004,1.0,19920918,,서울중계9,495.0
157,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,40.5004,1.0,19920918,,서울중계9,495.0
158,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,40.5004,1.0,19920918,,서울중계9,495.0
159,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,40.5004,1.0,19920918,,서울중계9,495.0
160,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,40.5004,1.0,19920918,,서울중계9,495.0
161,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,40.5004,1.0,19920918,,서울중계9,495.0
162,C00228,2634.0,서울특별시,서울특별시 노원구 노원로16길 15  (중계9단지주공영구임대아파트),임대상가,40.5004,1.0,19920918,,서울중계9,495.0
163,C00902,840.0,서울특별시,서울특별시 노원구 동일로216길 47 (상계동),공공분양,31.97,160.0,,19871001.0,상계5,340.0
164,C00902,840.0,서울특별시,서울특별시 노원구 동일로216길 47 (상계동),공공분양,31.97,21.0,,19871110.0,상계5,340.0
165,C00902,840.0,서울특별시,서울특별시 노원구 동일로216길 47 (상계동),공공분양,31.97,104.0,,19871115.0,상계5,340.0
166,C00902,840.0,서울특별시,서울특별시 노원구 동일로216길 47 (상계동),공공분양,31.97,30.0,,19871116.0,상계5,340.0
167,C00902,840.0,서울특별시,서울특별시 노원구 동일로216길 47 (상계동),공공분양,31.97,24.0,,19871117.0,상계5,340.0
168,C00902,840.0,서울특별시,서울특별시 노원구 동일로216길 47 (상계동),공공분양,31.97,30.0,,19871120.0,상계5,340.0
169,C00902,840.0,서울특별시,서울특별시 노원구 동일로216길 47 (상계동),공공분양,31.97,27.0,,19871121.0,상계5,340.0
170,C00902,840.0,서울특별시,서울특별시 노원구 동일로216길 47 (상계동),공공분양,31.97,19.0,,19871124.0,상계5,340.0
171,C00902,840.0,서울특별시,서울특별시 노원구 동일로216길 47 (상계동),공공분양,31.97,21.0,,19871129.0,상계5,340.0
172,C00902,840.0,서울특별시,서울특별시 노원구 동일로216길 47 (상계동),공공분양,31.97,22.0,,19871229.0,상계5,340.0
173,C00902,840.0,서울특별시,서울특별시 노원구 동일로216길 47 (상계동),공공분양,31.97,20.0,,19871231.0,상계5,340.0
174,C02208,2634.0,서울특별시,서울특별시 노원구 노원로16길 15(하계동 중계주공9단지아파트)  ,영구임대,26.84,60.0,20170901,,서울중계9 증축 영구임대주택(주거복지동),495.0
175,D00214,850.0,서울특별시,서울특별시 노원구 월계로45길 21(월계동 롯데캐슬루나아파트)  ,공공분양,127.0318,1.0,20061130,20070610.0,재건축임대(월계 롯데캐슬),1153.0
176,D00214,850.0,서울특별시,서울특별시 노원구 월계로45길 21(월계동 롯데캐슬루나아파트)  ,공공분양,127.0318,1.0,20061130,20070610.0,재건축임대(월계 롯데캐슬),1153.0
177,D00214,850.0,서울특별시,서울특별시 노원구 월계로45길 21(월계동 롯데캐슬루나아파트)  ,공공분양,127.0318,1.0,20061130,20070610.0,재건축임대(월계 롯데캐슬),1153.0
178,D00214,850.0,서울특별시,서울특별시 노원구 월계로45길 21(월계동 롯데캐슬루나아파트)  ,공공분양,127.0318,1.0,20061130,20070610.0,재건축임대(월계 롯데캐슬),1153.0
179,D00214,850.0,서울특별시,서울특별시 노원구 월계로45길 21(월계동 롯데캐슬루나아파트)  ,공공분양,127.0318,1.0,20061130,20070610.0,재건축임대(월계 롯데캐슬),1153.0
180,D00214,850.0,서울특별시,서울특별시 노원구 월계로45길 21(월계동 롯데캐슬루나아파트)  ,공공분양,127.0318,1.0,20061130,20070610.0,재건축임대(월계 롯데캐슬),1153.0
181,D00214,850.0,서울특별시,서울특별시 노원구 월계로45길 21(월계동 롯데캐슬루나아파트)  ,공공분양,127.0318,1.0,20061130,20070610.0,재건축임대(월계 롯데캐슬),1153.0
182,D00214,850.0,서울특별시,서울특별시 노원구 월계로45길 21(월계동 롯데캐슬루나아파트)  ,공공분양,127.0318,1.0,20061130,20070610.0,재건축임대(월계 롯데캐슬),1153.0
